0.2330 	WARNING 	Movie2 stim could not be imported and won't be available
7.8890 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f90c18b0dd0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
7.8915 	EXP 	Created unnamed Rect = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='black', fillColorSpace='named', fillRGB=array([ 0.,  0.,  0.]), interpolate=True, lineColor='black', lineColorSpace='named', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.0), pos=array([  0.,  90.]), size=array([ 360.,  360.]), units='pix', vertices=ndarray(...), win=Window(...))
7.9017 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-225., -180.]), rgb=array([ 0.,  0.,  0.]), text=u'Brak zmiany', units='pix', win=Window(...), wrapWidth=500)
7.9089 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 225., -180.]), rgb=array([ 0.,  0.,  0.]), text=u'Byla zmiana', units='pix', win=Window(...), wrapWidth=500)
9.0450 	DATA 	Keypress: left
11.9262 	EXP 	unnamed TextStim: autoDraw = True
11.9262 	EXP 	unnamed TextStim: autoDraw = True
13.4267 	DATA 	Keypress: left
13.4429 	EXP 	unnamed TextStim: autoDraw = False
13.4429 	EXP 	unnamed TextStim: autoDraw = False
17.1319 	DATA 	Keypress: f7
18.1422 	DATA 	Keypress: f6
19.6060 	DATA 	Keypress: f7
20.0491 	DATA 	Keypress: right
20.0560 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g6.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-67.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0619 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g15.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-22.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0676 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g12.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 22.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0736 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g22.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 67.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0800 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g8.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -67.5,  112.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0863 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g14.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -22.5,  112.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0921 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g13.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -22.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.0979 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g23.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([  22.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1043 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g3.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([  67.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1108 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g6.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-67.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1164 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g15.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-22.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1220 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g12.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 22.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1278 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g22.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 67.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1337 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g8.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -67.5,  112.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.1398 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g14.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -22.5,  112.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.2084 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g13.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ -22.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.2141 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g23.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([  22.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.2200 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g3.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([  67.5,  157.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
20.2267 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='crimson', fillColorSpace='named', fillRGB=array([ 220.,   20.,   60.]), interpolate=True, lineColor='white', lineColorSpace='named', lineRGB=array([ 255.,  255.,  255.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([ -22.5,  112.5]), size=array([ 10.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
20.2275 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f90c18b0dd0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
20.2302 	EXP 	Created unnamed Rect = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='black', fillColorSpace='named', fillRGB=array([ 0.,  0.,  0.]), interpolate=True, lineColor='black', lineColorSpace='named', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.0), pos=array([  0.,  90.]), size=array([ 360.,  360.]), units='pix', vertices=ndarray(...), win=Window(...))
20.2378 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-225., -180.]), rgb=array([ 0.,  0.,  0.]), text=u'Brak zmiany', units='pix', win=Window(...), wrapWidth=500)
20.2451 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 225., -180.]), rgb=array([ 0.,  0.,  0.]), text=u'Byla zmiana', units='pix', win=Window(...), wrapWidth=500)
20.2458 	CRITICAL 	Experiment finished by user! f7 pressed.
0.1544 	WARNING 	Movie2 stim could not be imported and won't be available
0.4565 	WARNING 	TextBox stim could not be imported and won't be available.
0.4566 	WARNING 	TextBox Font Manager Found No Fonts.
1.4975 	INFO 	Loaded monitor calibration from ['2016_08_26 12:23']
2.2446 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='Gainsboro', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x7f08cce4c320>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.2456 	EXP 	window1: recordFrameIntervals = False
2.4100 	EXP 	window1: recordFrameIntervals = True
2.9272 	EXP 	window1: recordFrameIntervals = False
2.9272 	INFO 	Detected framerate: 60 frames per sec.
3.1328 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Poprawna odpowied\u017a', units='pix', win=Window(...), wrapWidth=500)
3.1388 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Odpowied\u017a niepoprawna', units='pix', win=Window(...), wrapWidth=500)
3.1465 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Nie udzieli\u0142e\u015b odpowiedzi', units='pix', win=Window(...), wrapWidth=500)
3.1547 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Naci\u015bnij dowolny klawisz reakcyjny', units='pix', win=Window(...), wrapWidth=1500)
3.1592 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=60, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0.,  90.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
3.3454 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='pix', win=Window(...), wrapWidth=1366)
4.0052 	DATA 	Keypress: right
4.0177 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g12.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-67.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
4.0218 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g13.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 22.5,  22.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
4.0262 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='images/all_png/g6.png', interpolate=True, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 22.5,  67.5]), size=array([ 45.,  45.]), texRes=128, units='pix', win=Window(...))
